Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
2.96-2.97 kHz,2965,1500590131.47,91.76
2.97-2.98 kHz,2975,1500592125.58,91.76
2.98-2.99 kHz,2985,1500594119.66,91.76
2.99-3.00 kHz,2995,1500596113.73,91.76
3.00-3.01 kHz,3005,1500598107.78,91.76
3.01-3.02 kHz,3015,1500600101.81,91.76
3.02-3.03 kHz,3025,1500602095.82,91.76
3.03-3.04 kHz,3035,1500604089.80,91.76
3.04-3.05 kHz,3045,1500606083.77,91.76
3.05-3.06 kHz,3055,1500608077.72,91.76
3.06-3.07 kHz,3065,1500610071.65,91.76
3.07-3.08 kHz,3075,1500612065.56,91.76
3.08-3.09 kHz,3085,1500614059.45,91.76
3.09-3.10 kHz,3095,1500616053.31,91.76
3.10-3.11 kHz,3105,1500618047.16,91.76
3.11-3.12 kHz,3115,1500620040.99,91.76
3.12-3.13 kHz,3125,1500622034.80,91.76
3.13-3.14 kHz,3135,1500624028.59,91.76
3.14-3.15 kHz,3145,1500626022.36,91.76
3.15-3.16 kHz,3155,1500628016.11,91.76
3.16-3.17 kHz,3165,1500630009.84,91.76
3.17-3.18 kHz,3175,1500632003.55,91.76
3.18-3.19 kHz,3185,1500633997.24,91.76
3.19-3.20 kHz,3195,1500635990.91,91.76
3.20-3.21 kHz,3205,1500637984.55,91.76
3.21-3.22 kHz,3215,1500639978.18,91.76
3.22-3.23 kHz,3225,1500641971.79,91.76
3.23-3.24 kHz,3235,1500643965.38,91.76
3.24-3.25 kHz,3245,1500645958.95,91.76
3.25-3.26 kHz,3255,1500647952.50,91.76
3.26-3.27 kHz,3265,1500649946.03,91.76
3.27-3.28 kHz,3275,1500651939.54,91.76
3.28-3.29 kHz,3285,1500653933.03,91.76
3.29-3.30 kHz,3295,1500655926.50,91.76
3.30-3.31 kHz,3305,1500657919.95,91.76
3.31-3.32 kHz,3315,1500659913.38,91.76
3.32-3.33 kHz,3325,1500661906.79,91.76
3.33-3.34 kHz,3335,1500663900.19,91.76
3.34-3.35 kHz,3345,1500665893.56,91.76
3.35-3.36 kHz,3355,1500667886.91,91.76
3.36-3.37 kHz,3365,1500669880.24,91.76
3.37-3.38 kHz,3375,1500671873.55,91.76
3.38-3.39 kHz,3385,1500673866.84,91.76
3.39-3.40 kHz,3395,1500675860.11,91.76
3.40-3.41 kHz,3405,1500677853.36,91.76
3.41-3.42 kHz,3415,1500679846.59,91.76
3.42-3.43 kHz,3425,1500681839.80,91.76
3.43-3.44 kHz,3435,1500683833.00,91.76
3.44-3.45 kHz,3445,1500685826.17,91.76
3.45-3.46 kHz,3455,1500687819.32,91.76
3.46-3.47 kHz,3465,1500689812.45,91.76
3.47-3.48 kHz,3475,1500691805.56,91.76
3.48-3.49 kHz,3485,1500693798.65,91.76
3.49-3.50 kHz,3495,1500695791.72,91.76
3.50-3.51 kHz,3505,1500697784.78,91.76
3.51-3.52 kHz,3515,1500699777.81,91.76
3.52-3.53 kHz,3525,1500701770.82,91.76
3.53-3.54 kHz,3535,1500703763.81,91.76
3.54-3.55 kHz,3545,1500705756.79,91.76
3.55-3.56 kHz,3555,1500707749.74,91.76
3.56-3.57 kHz,3565,1500709742.67,91.76
3.57-3.58 kHz,3575,1500711735.58,91.76
3.58-3.59 kHz,3585,1500713728.47,91.76
3.59-3.60 kHz,3595,1500715721.35,91.76
3.60-3.61 kHz,3605,1500717714.20,91.76
3.61-3.62 kHz,3615,1500719707.03,91.76
3.62-3.63 kHz,3625,1500721699.85,91.76
3.63-3.64 kHz,3635,1500723692.64,91.76
3.64-3.65 kHz,3645,1500725685.41,91.76
3.65-3.66 kHz,3655,1500727678.16,91.76
3.66-3.67 kHz,3665,1500729670.90,91.76
3.67-3.68 kHz,3675,1500731663.61,91.76
3.68-3.69 kHz,3685,1500733656.30,91.76
3.69-3.70 kHz,3695,1500735648.98,91.76
3.70-3.71 kHz,3705,1500737641.63,91.76
3.71-3.72 kHz,3715,1500739634.26,91.76
3.72-3.73 kHz,3725,1500741626.88,91.76
3.73-3.74 kHz,3735,1500743619.47,91.76
3.74-3.75 kHz,3745,1500745612.05,91.76
3.75-3.76 kHz,3755,1500747604.60,91.76
3.76-3.77 kHz,3765,1500749597.13,91.76
3.77-3.78 kHz,3775,1500751589.65,91.76
3.78-3.79 kHz,3785,1500753582.14,91.76
3.79-3.80 kHz,3795,1500755574.62,91.76
3.80-3.81 kHz,3805,1500757567.07,91.76
3.81-3.82 kHz,3815,1500759559.50,91.76
3.82-3.83 kHz,3825,1500761551.92,91.76
3.83-3.84 kHz,3835,1500763544.31,91.76
3.84-3.85 kHz,3845,1500765536.69,91.76
3.85-3.86 kHz,3855,1500767529.04,91.76
3.86-3.87 kHz,3865,1500769521.38,91.76
3.87-3.88 kHz,3875,1500771513.69,91.76
3.88-3.89 kHz,3885,1500773505.99,91.76
3.89-3.90 kHz,3895,1500775498.26,91.76
3.90-3.91 kHz,3905,1500777490.52,91.76
3.91-3.92 kHz,3915,1500779482.75,91.76
3.92-3.93 kHz,3925,1500781474.97,91.76
3.93-3.94 kHz,3935,1500783467.16,91.76
3.94-3.95 kHz,3945,1500785459.34,91.76
3.95-3.96 kHz,3955,1500787451.49,91.76
3.96-3.97 kHz,3965,1500789443.63,91.76
3.97-3.98 kHz,3975,1500791435.75,91.76
3.98-3.99 kHz,3985,1500793427.84,91.76
3.99-4.00 kHz,3995,1500795419.92,91.76
4.00-4.01 kHz,4005,1500797411.97,91.76
4.01-4.02 kHz,4015,1500799404.01,91.76
4.02-4.03 kHz,4025,1500801396.03,91.76
4.03-4.04 kHz,4035,1500803388.02,91.76
4.04-4.05 kHz,4045,1500805380.00,91.76
4.05-4.06 kHz,4055,1500807371.95,91.76
4.06-4.07 kHz,4065,1500809363.89,91.76
4.07-4.08 kHz,4075,1500811355.81,91.76
4.08-4.09 kHz,4085,1500813347.70,91.76
4.09-4.10 kHz,4095,1500815339.58,91.76
4.10-4.11 kHz,4105,1500817331.44,91.76
4.11-4.12 kHz,4115,1500819323.27,91.76
4.12-4.13 kHz,4125,1500821315.09,91.76
4.13-4.14 kHz,4135,1500823306.89,91.76
4.14-4.15 kHz,4145,1500825298.66,91.76
4.15-4.16 kHz,4155,1500827290.42,91.76
4.16-4.17 kHz,4165,1500829282.16,91.76
4.17-4.18 kHz,4175,1500831273.88,91.76
4.18-4.19 kHz,4185,1500833265.57,91.76
4.19-4.20 kHz,4195,1500835257.25,91.76
4.20-4.21 kHz,4205,1500837248.91,91.76
4.21-4.22 kHz,4215,1500839240.55,91.76
4.22-4.23 kHz,4225,1500841232.16,91.76
4.23-4.24 kHz,4235,1500843223.76,91.76
4.24-4.25 kHz,4245,1500845215.34,91.76
4.25-4.26 kHz,4255,1500847206.90,91.76
4.26-4.27 kHz,4265,1500849198.43,91.76
4.27-4.28 kHz,4275,1500851189.95,91.76
4.28-4.29 kHz,4285,1500853181.45,91.76
4.29-4.30 kHz,4295,1500855172.93,91.76
4.30-4.31 kHz,4305,1500857164.39,91.76
4.31-4.32 kHz,4315,1500859155.83,91.76
4.32-4.33 kHz,4325,1500861147.24,91.76
4.33-4.34 kHz,4335,1500863138.64,91.76
4.34-4.35 kHz,4345,1500865130.02,91.76
4.35-4.36 kHz,4355,1500867121.38,91.76
4.36-4.37 kHz,4365,1500869112.72,91.76
4.37-4.38 kHz,4375,1500871104.04,91.76
4.38-4.39 kHz,4385,1500873095.34,91.76
4.39-4.40 kHz,4395,1500875086.62,91.76
4.40-4.41 kHz,4405,1500877077.87,91.76
4.41-4.42 kHz,4415,1500879069.11,91.76
4.42-4.43 kHz,4425,1500881060.33,91.76
4.43-4.44 kHz,4435,1500883051.53,91.76
4.44-4.45 kHz,4445,1500885042.71,91.76
4.45-4.46 kHz,4455,1500887033.87,91.76
4.46-4.47 kHz,4465,1500889025.01,91.76
4.47-4.48 kHz,4475,1500891016.13,91.76
4.48-4.49 kHz,4485,1500893007.23,91.76
4.49-4.50 kHz,4495,1500894998.31,91.76
4.50-4.51 kHz,4505,1500896989.37,91.76
4.51-4.52 kHz,4515,1500898980.41,91.76
4.52-4.53 kHz,4525,1500900971.43,91.76
4.53-4.54 kHz,4535,1500902962.43,91.76
4.54-4.55 kHz,4545,1500904953.41,91.76
4.55-4.56 kHz,4555,1500906944.37,91.76
4.56-4.57 kHz,4565,1500908935.31,91.76
4.57-4.58 kHz,4575,1500910926.23,91.76
4.58-4.59 kHz,4585,1500912917.13,91.76
4.59-4.60 kHz,4595,1500914908.01,91.76
4.60-4.61 kHz,4605,1500916898.87,91.76
4.61-4.62 kHz,4615,1500918889.71,91.76
4.62-4.63 kHz,4625,1500920880.53,91.76
4.63-4.64 kHz,4635,1500922871.34,91.76
4.64-4.65 kHz,4645,1500924862.12,91.76
4.65-4.66 kHz,4655,1500926852.88,91.76
4.66-4.67 kHz,4665,1500928843.62,91.76
4.67-4.68 kHz,4675,1500930834.34,91.76
4.68-4.69 kHz,4685,1500932825.04,91.76
4.69-4.70 kHz,4695,1500934815.72,91.76
4.70-4.71 kHz,4705,1500936806.38,91.76
4.71-4.72 kHz,4715,1500938797.03,91.76
4.72-4.73 kHz,4725,1500940787.65,91.76
4.73-4.74 kHz,4735,1500942778.25,91.76
4.74-4.75 kHz,4745,1500944768.83,91.76
4.75-4.76 kHz,4755,1500946759.39,91.76
4.76-4.77 kHz,4765,1500948749.93,91.76
4.77-4.78 kHz,4775,1500950740.46,91.76
4.78-4.79 kHz,4785,1500952730.96,91.76
4.79-4.80 kHz,4795,1500954721.44,91.76
4.80-4.81 kHz,4805,1500956711.90,91.76
4.81-4.82 kHz,4815,1500958702.35,91.76
4.82-4.83 kHz,4825,1500960692.77,91.76
4.83-4.84 kHz,4835,1500962683.17,91.76
4.84-4.85 kHz,4845,1500964673.55,91.76
4.85-4.86 kHz,4855,1500966663.92,91.76
4.86-4.87 kHz,4865,1500968654.26,91.76
4.87-4.88 kHz,4875,1500970644.58,91.76
4.88-4.89 kHz,4885,1500972634.88,91.76
4.89-4.90 kHz,4895,1500974625.17,91.76
4.90-4.91 kHz,4905,1500976615.43,91.76
4.91-4.92 kHz,4915,1500978605.67,91.76
4.92-4.93 kHz,4925,1500980595.90,91.76
4.93-4.94 kHz,4935,1500982586.10,91.76
4.94-4.95 kHz,4945,1500984576.28,91.76
4.95-4.96 kHz,4955,1500986566.45,91.76
4.96-4.97 kHz,4965,1500988556.59,91.76
4.97-4.98 kHz,4975,1500990546.71,91.76
4.98-4.99 kHz,4985,1500992536.82,91.76
4.99-5.00 kHz,4995,1500994526.90,91.76
5.00-5.01 kHz,5005,1500996516.97,91.76
5.01-5.02 kHz,5015,1500998507.01,91.76
5.02-5.03 kHz,5025,1501000497.03,91.76
5.03-5.04 kHz,5035,1501002487.04,91.76
5.04-5.05 kHz,5045,1501004477.02,91.76
5.05-5.06 kHz,5055,1501006466.99,91.76
5.06-5.07 kHz,5065,1501008456.93,91.76
5.07-5.08 kHz,5075,1501010446.85,91.76
5.08-5.09 kHz,5085,1501012436.76,91.76
5.09-5.10 kHz,5095,1501014426.64,91.76
5.10-5.11 kHz,5105,1501016416.51,91.76
5.11-5.12 kHz,5115,1501018406.35,91.76
5.12-5.13 kHz,5125,1501020396.18,91.76
5.13-5.14 kHz,5135,1501022385.98,91.76
5.14-5.15 kHz,5145,1501024375.77,91.76
5.15-5.16 kHz,5155,1501026365.53,91.76
5.16-5.17 kHz,5165,1501028355.28,91.76
5.17-5.18 kHz,5175,1501030345.00,91.76
5.18-5.19 kHz,5185,1501032334.71,91.76
5.19-5.20 kHz,5195,1501034324.39,91.76
5.20-5.21 kHz,5205,1501036314.06,91.76
5.21-5.22 kHz,5215,1501038303.71,91.76
5.22-5.23 kHz,5225,1501040293.33,91.76
5.23-5.24 kHz,5235,1501042282.94,91.76
5.24-5.25 kHz,5245,1501044272.52,91.76
5.25-5.26 kHz,5255,1501046262.09,91.76
5.26-5.27 kHz,5265,1501048251.63,91.76
5.27-5.28 kHz,5275,1501050241.16,91.76
5.28-5.29 kHz,5285,1501052230.67,91.76
5.29-5.30 kHz,5295,1501054220.15,91.76
5.30-5.31 kHz,5305,1501056209.62,91.76
5.31-5.32 kHz,5315,1501058199.07,91.76
5.32-5.33 kHz,5325,1501060188.49,91.76
5.33-5.34 kHz,5335,1501062177.90,91.76
5.34-5.35 kHz,5345,1501064167.29,91.76
5.35-5.36 kHz,5355,1501066156.65,91.76
5.36-5.37 kHz,5365,1501068146.00,91.76
5.37-5.38 kHz,5375,1501070135.33,91.76
5.38-5.39 kHz,5385,1501072124.63,91.76
5.39-5.40 kHz,5395,1501074113.92,91.76
5.40-5.41 kHz,5405,1501076103.19,91.76
5.41-5.42 kHz,5415,1501078092.43,91.76
5.42-5.43 kHz,5425,1501080081.66,91.76
5.43-5.44 kHz,5435,1501082070.87,91.76
5.44-5.45 kHz,5445,1501084060.06,91.76
5.45-5.46 kHz,5455,1501086049.22,91.76
5.46-5.47 kHz,5465,1501088038.37,91.76
5.47-5.48 kHz,5475,1501090027.50,91.76
5.48-5.49 kHz,5485,1501092016.61,91.76
5.49-5.50 kHz,5495,1501094005.69,91.76
5.50-5.51 kHz,5505,1501095994.76,91.76
5.51-5.52 kHz,5515,1501097983.81,91.76
5.52-5.53 kHz,5525,1501099972.84,91.76
5.53-5.54 kHz,5535,1501101961.85,91.76
5.54-5.55 kHz,5545,1501103950.83,91.76
5.55-5.56 kHz,5555,1501105939.80,91.76
5.56-5.57 kHz,5565,1501107928.75,91.76
5.57-5.58 kHz,5575,1501109917.68,91.76
5.58-5.59 kHz,5585,1501111906.59,91.76
5.59-5.60 kHz,5595,1501113895.48,91.76
5.60-5.61 kHz,5605,1501115884.34,91.76
5.61-5.62 kHz,5615,1501117873.19,91.76
5.62-5.63 kHz,5625,1501119862.02,91.76
5.63-5.64 kHz,5635,1501121850.83,91.76
5.64-5.65 kHz,5645,1501123839.62,91.76
5.65-5.66 kHz,5655,1501125828.39,91.76
5.66-5.67 kHz,5665,1501127817.14,91.76
5.67-5.68 kHz,5675,1501129805.87,91.76
5.68-5.69 kHz,5685,1501131794.58,91.76
5.69-5.70 kHz,5695,1501133783.27,91.76
5.70-5.71 kHz,5705,1501135771.94,91.76
5.71-5.72 kHz,5715,1501137760.59,91.76
5.72-5.73 kHz,5725,1501139749.21,91.76
5.73-5.74 kHz,5735,1501141737.82,91.76
5.74-5.75 kHz,5745,1501143726.41,91.76
5.75-5.76 kHz,5755,1501145714.98,91.76
5.76-5.77 kHz,5765,1501147703.53,91.76
5.77-5.78 kHz,5775,1501149692.06,91.76
5.78-5.79 kHz,5785,1501151680.57,91.76
5.79-5.80 kHz,5795,1501153669.06,91.76
5.80-5.81 kHz,5805,1501155657.53,91.76
5.81-5.82 kHz,5815,1501157645.99,91.76
5.82-5.83 kHz,5825,1501159634.42,91.76
5.83-5.84 kHz,5835,1501161622.83,91.76
5.84-5.85 kHz,5845,1501163611.22,91.76
5.85-5.86 kHz,5855,1501165599.59,91.76
5.86-5.87 kHz,5865,1501167587.94,91.76
5.87-5.88 kHz,5875,1501169576.27,91.76
5.88-5.89 kHz,5885,1501171564.58,91.76
5.89-5.90 kHz,5895,1501173552.87,91.76
5.90-5.91 kHz,5905,1501175541.14,91.76
5.91-5.92 kHz,5915,1501177529.39,91.76
5.92-5.93 kHz,5925,1501179517.62,91.76
5.93-5.94 kHz,5935,1501181505.84,91.76
5.94-5.95 kHz,5945,1501183494.03,91.76
5.95-5.96 kHz,5955,1501185482.20,91.76
5.96-5.97 kHz,5965,1501187470.35,91.76
5.97-5.98 kHz,5975,1501189458.48,91.76
5.98-5.99 kHz,5985,1501191446.59,91.76
5.99-6.00 kHz,5995,1501193434.69,91.76
6.00-6.01 kHz,6005,1501195422.76,91.76
6.01-6.02 kHz,6015,1501197410.81,91.76
6.02-6.03 kHz,6025,1501199398.84,91.76
6.03-6.04 kHz,6035,1501201386.85,91.76
6.04-6.05 kHz,6045,1501203374.85,91.76
6.05-6.06 kHz,6055,1501205362.82,91.76
6.06-6.07 kHz,6065,1501207350.77,91.76
6.07-6.08 kHz,6075,1501209338.70,91.76
6.08-6.09 kHz,6085,1501211326.62,91.76
6.09-6.10 kHz,6095,1501213314.51,91.76
6.10-6.11 kHz,6105,1501215302.38,91.76
6.11-6.12 kHz,6115,1501217290.23,91.76
6.12-6.13 kHz,6125,1501219278.07,91.76
6.13-6.14 kHz,6135,1501221265.88,91.76
6.14-6.15 kHz,6145,1501223253.67,91.76
6.15-6.16 kHz,6155,1501225241.44,91.76
6.16-6.17 kHz,6165,1501227229.20,91.76
6.17-6.18 kHz,6175,1501229216.93,91.76
6.18-6.19 kHz,6185,1501231204.64,91.76
6.19-6.20 kHz,6195,1501233192.34,91.76
6.20-6.21 kHz,6205,1501235180.01,91.76
6.21-6.22 kHz,6215,1501237167.66,91.76
6.22-6.23 kHz,6225,1501239155.30,91.76
6.23-6.24 kHz,6235,1501241142.91,91.76
6.24-6.25 kHz,6245,1501243130.51,91.76
6.25-6.26 kHz,6255,1501245118.08,91.76
6.26-6.27 kHz,6265,1501247105.63,91.76
6.27-6.28 kHz,6275,1501249093.17,91.76
6.28-6.29 kHz,6285,1501251080.68,91.76
6.29-6.30 kHz,6295,1501253068.18,91.76
6.30-6.31 kHz,6305,1501255055.65,91.76
6.31-6.32 kHz,6315,1501257043.10,91.76
6.32-6.33 kHz,6325,1501259030.54,91.76
6.33-6.34 kHz,6335,1501261017.95,91.76
6.34-6.35 kHz,6345,1501263005.35,91.76
6.35-6.36 kHz,6355,1501264992.72,91.76
6.36-6.37 kHz,6365,1501266980.08,91.76
6.37-6.38 kHz,6375,1501268967.41,91.76
6.38-6.39 kHz,6385,1501270954.73,91.76
6.39-6.40 kHz,6395,1501272942.02,91.76
6.40-6.41 kHz,6405,1501274929.30,91.76
6.41-6.42 kHz,6415,1501276916.55,91.76
6.42-6.43 kHz,6425,1501278903.79,91.76
6.43-6.44 kHz,6435,1501280891.00,91.76
6.44-6.45 kHz,6445,1501282878.20,91.76
6.45-6.46 kHz,6455,1501284865.37,91.76
6.46-6.47 kHz,6465,1501286852.53,91.76
6.47-6.48 kHz,6475,1501288839.67,91.76
6.48-6.49 kHz,6485,1501290826.78,91.76
6.49-6.50 kHz,6495,1501292813.88,91.76
6.50-6.51 kHz,6505,1501294800.95,91.76
6.51-6.52 kHz,6515,1501296788.01,91.76
6.52-6.53 kHz,6525,1501298775.04,91.76
6.53-6.54 kHz,6535,1501300762.06,91.76
6.54-6.55 kHz,6545,1501302749.06,91.76
6.55-6.56 kHz,6555,1501304736.03,91.76
6.56-6.57 kHz,6565,1501306722.99,91.76
6.57-6.58 kHz,6575,1501308709.93,91.76
6.58-6.59 kHz,6585,1501310696.84,91.76
6.59-6.60 kHz,6595,1501312683.74,91.76
6.60-6.61 kHz,6605,1501314670.62,91.76
6.61-6.62 kHz,6615,1501316657.47,91.76
6.62-6.63 kHz,6625,1501318644.31,91.76
6.63-6.64 kHz,6635,1501320631.13,91.76
6.64-6.65 kHz,6645,1501322617.92,91.76
6.65-6.66 kHz,6655,1501324604.70,91.76
6.66-6.67 kHz,6665,1501326591.46,91.76
6.67-6.68 kHz,6675,1501328578.19,91.76
6.68-6.69 kHz,6685,1501330564.91,91.76
6.69-6.70 kHz,6695,1501332551.61,91.76
6.70-6.71 kHz,6705,1501334538.29,91.76
6.71-6.72 kHz,6715,1501336524.94,91.76
6.72-6.73 kHz,6725,1501338511.58,91.76
6.73-6.74 kHz,6735,1501340498.20,91.76
6.74-6.75 kHz,6745,1501342484.80,91.76
6.75-6.76 kHz,6755,1501344471.38,91.76
6.76-6.77 kHz,6765,1501346457.93,91.76
6.77-6.78 kHz,6775,1501348444.47,91.76
6.78-6.79 kHz,6785,1501350430.99,91.76
6.79-6.80 kHz,6795,1501352417.49,91.76
6.80-6.81 kHz,6805,1501354403.97,91.76
6.81-6.82 kHz,6815,1501356390.42,91.76
6.82-6.83 kHz,6825,1501358376.86,91.76
6.83-6.84 kHz,6835,1501360363.28,91.76
6.84-6.85 kHz,6845,1501362349.68,91.76
6.85-6.86 kHz,6855,1501364336.06,91.76
6.86-6.87 kHz,6865,1501366322.42,91.76
6.87-6.88 kHz,6875,1501368308.76,91.76
6.88-6.89 kHz,6885,1501370295.07,91.76
6.89-6.90 kHz,6895,1501372281.37,91.76
6.90-6.91 kHz,6905,1501374267.65,91.76
6.91-6.92 kHz,6915,1501376253.91,91.76
6.92-6.93 kHz,6925,1501378240.15,91.76
6.93-6.94 kHz,6935,1501380226.37,91.76
6.94-6.95 kHz,6945,1501382212.57,91.76
6.95-6.96 kHz,6955,1501384198.75,91.76
6.96-6.97 kHz,6965,1501386184.91,91.76
6.97-6.98 kHz,6975,1501388171.05,91.76
6.98-6.99 kHz,6985,1501390157.17,91.76
6.99-7.00 kHz,6995,1501392143.27,91.76
7.00-7.01 kHz,7005,1501394129.35,91.76
7.01-7.02 kHz,7015,1501396115.41,91.76
7.02-7.03 kHz,7025,1501398101.45,91.76
7.03-7.04 kHz,7035,1501400087.47,91.76
7.04-7.05 kHz,7045,1501402073.47,91.76
7.05-7.06 kHz,7055,1501404059.45,91.76
7.06-7.07 kHz,7065,1501406045.41,91.76
7.07-7.08 kHz,7075,1501408031.35,91.76
7.08-7.09 kHz,7085,1501410017.27,91.76
7.09-7.10 kHz,7095,1501412003.17,91.76
7.10-7.11 kHz,7105,1501413989.05,91.77
7.11-7.12 kHz,7115,1501415974.91,91.77
7.12-7.13 kHz,7125,1501417960.75,91.77
7.13-7.14 kHz,7135,1501419946.57,91.77
7.14-7.15 kHz,7145,1501421932.37,91.77
7.15-7.16 kHz,7155,1501423918.16,91.77
7.16-7.17 kHz,7165,1501425903.92,91.77
7.17-7.18 kHz,7175,1501427889.66,91.77
7.18-7.19 kHz,7185,1501429875.38,91.77
7.19-7.20 kHz,7195,1501431861.08,91.77
7.20-7.21 kHz,7205,1501433846.76,91.77
7.21-7.22 kHz,7215,1501435832.42,91.77
7.22-7.23 kHz,7225,1501437818.07,91.77
7.23-7.24 kHz,7235,1501439803.69,91.77
7.24-7.25 kHz,7245,1501441789.29,91.77
7.25-7.26 kHz,7255,1501443774.87,91.77
7.26-7.27 kHz,7265,1501445760.43,91.77
7.27-7.28 kHz,7275,1501447745.97,91.77
7.28-7.29 kHz,7285,1501449731.50,91.77
7.29-7.30 kHz,7295,1501451717.00,91.77
7.30-7.31 kHz,7305,1501453702.48,91.77
7.31-7.32 kHz,7315,1501455687.94,91.77
7.32-7.33 kHz,7325,1501457673.39,91.77
7.33-7.34 kHz,7335,1501459658.81,91.77
7.34-7.35 kHz,7345,1501461644.21,91.77
7.35-7.36 kHz,7355,1501463629.59,91.77
7.36-7.37 kHz,7365,1501465614.96,91.77
7.37-7.38 kHz,7375,1501467600.30,91.77
7.38-7.39 kHz,7385,1501469585.62,91.77
7.39-7.40 kHz,7395,1501471570.93,91.77
7.40-7.41 kHz,7405,1501473556.21,91.77
7.41-7.42 kHz,7415,1501475541.47,91.77
7.42-7.43 kHz,7425,1501477526.71,91.77
7.43-7.44 kHz,7435,1501479511.94,91.77
7.44-7.45 kHz,7445,1501481497.14,91.77
7.45-7.46 kHz,7455,1501483482.32,91.77
7.46-7.47 kHz,7465,1501485467.49,91.77
7.47-7.48 kHz,7475,1501487452.63,91.77
7.48-7.49 kHz,7485,1501489437.76,91.77
7.49-7.50 kHz,7495,1501491422.86,91.77
7.50-7.51 kHz,7505,1501493407.94,91.77
7.51-7.52 kHz,7515,1501495393.01,91.77
7.52-7.53 kHz,7525,1501497378.05,91.77
7.53-7.54 kHz,7535,1501499363.08,91.77
7.54-7.55 kHz,7545,1501501348.08,91.77
7.55-7.56 kHz,7555,1501503333.06,91.77
7.56-7.57 kHz,7565,1501505318.03,91.77
7.57-7.58 kHz,7575,1501507302.97,91.77
7.58-7.59 kHz,7585,1501509287.90,91.77
7.59-7.60 kHz,7595,1501511272.80,91.77
7.60-7.61 kHz,7605,1501513257.69,91.77
7.61-7.62 kHz,7615,1501515242.55,91.77
7.62-7.63 kHz,7625,1501517227.40,91.77
7.63-7.64 kHz,7635,1501519212.22,91.77
7.64-7.65 kHz,7645,1501521197.03,91.77
7.65-7.66 kHz,7655,1501523181.81,91.77
7.66-7.67 kHz,7665,1501525166.58,91.77
7.67-7.68 kHz,7675,1501527151.32,91.77
7.68-7.69 kHz,7685,1501529136.05,91.77
7.69-7.70 kHz,7695,1501531120.75,91.77
7.70-7.71 kHz,7705,1501533105.44,91.77
7.71-7.72 kHz,7715,1501535090.10,91.77
7.72-7.73 kHz,7725,1501537074.75,91.77
7.73-7.74 kHz,7735,1501539059.37,91.77
7.74-7.75 kHz,7745,1501541043.98,91.77
7.75-7.76 kHz,7755,1501543028.57,91.77
7.76-7.77 kHz,7765,1501545013.13,91.77
7.77-7.78 kHz,7775,1501546997.68,91.77
7.78-7.79 kHz,7785,1501548982.20,91.77
7.79-7.80 kHz,7795,1501550966.71,91.77
7.80-7.81 kHz,7805,1501552951.20,91.77
7.81-7.82 kHz,7815,1501554935.66,91.77
7.82-7.83 kHz,7825,1501556920.11,91.77
7.83-7.84 kHz,7835,1501558904.54,91.77
7.84-7.85 kHz,7845,1501560888.94,91.77
7.85-7.86 kHz,7855,1501562873.33,91.77
7.86-7.87 kHz,7865,1501564857.70,91.77
7.87-7.88 kHz,7875,1501566842.04,91.77
7.88-7.89 kHz,7885,1501568826.37,91.77
7.89-7.90 kHz,7895,1501570810.68,91.77
7.90-7.91 kHz,7905,1501572794.96,91.77
7.91-7.92 kHz,7915,1501574779.23,91.77
7.92-7.93 kHz,7925,1501576763.48,91.77
7.93-7.94 kHz,7935,1501578747.70,91.77
7.94-7.95 kHz,7945,1501580731.91,91.77
7.95-7.96 kHz,7955,1501582716.10,91.77
7.96-7.97 kHz,7965,1501584700.27,91.77
7.97-7.98 kHz,7975,1501586684.41,91.77
7.98-7.99 kHz,7985,1501588668.54,91.77
7.99-8.00 kHz,7995,1501590652.65,91.77
8.00-8.01 kHz,8005,1501592636.74,91.77
8.01-8.02 kHz,8015,1501594620.81,91.77
8.02-8.03 kHz,8025,1501596604.85,91.77
8.03-8.04 kHz,8035,1501598588.88,91.77
8.04-8.05 kHz,8045,1501600572.89,91.77
8.05-8.06 kHz,8055,1501602556.88,91.77
8.06-8.07 kHz,8065,1501604540.85,91.77
8.07-8.08 kHz,8075,1501606524.80,91.77
8.08-8.09 kHz,8085,1501608508.72,91.77
8.09-8.10 kHz,8095,1501610492.63,91.77
8.10-8.11 kHz,8105,1501612476.52,91.77
8.11-8.12 kHz,8115,1501614460.39,91.77
8.12-8.13 kHz,8125,1501616444.24,91.77
8.13-8.14 kHz,8135,1501618428.07,91.77
8.14-8.15 kHz,8145,1501620411.88,91.77
8.15-8.16 kHz,8155,1501622395.67,91.77
8.16-8.17 kHz,8165,1501624379.43,91.77
8.17-8.18 kHz,8175,1501626363.18,91.77
8.18-8.19 kHz,8185,1501628346.91,91.77
8.19-8.20 kHz,8195,1501630330.62,91.77
8.20-8.21 kHz,8205,1501632314.31,91.77
8.21-8.22 kHz,8215,1501634297.98,91.77
8.22-8.23 kHz,8225,1501636281.63,91.77
8.23-8.24 kHz,8235,1501638265.26,91.77
8.24-8.25 kHz,8245,1501640248.87,91.77
8.25-8.26 kHz,8255,1501642232.46,91.77
8.26-8.27 kHz,8265,1501644216.03,91.77
8.27-8.28 kHz,8275,1501646199.58,91.77
8.28-8.29 kHz,8285,1501648183.11,91.77
8.29-8.30 kHz,8295,1501650166.62,91.77
8.30-8.31 kHz,8305,1501652150.11,91.77
8.31-8.32 kHz,8315,1501654133.58,91.77
8.32-8.33 kHz,8325,1501656117.03,91.77
